#;index;tconst;titleType;originalTitle;isAdult;startYear;runtimeMinutes;averageRating;numVotes;ordering;region;language;types;attributes;isOriginalTitle;main_genre;secondary_genre
5771;7473;tt9051908;movie;Living;0;2022;102;7.3;22368;38;IN;en;imdbDisplay;\N;0;Drama;No tiene
5772;7474;tt9052870;movie;Chhichhore;0;2019;143;8.3;58284;6;IN;en;imdbDisplay;\N;0;Comedy;Drama
5773;7475;tt9052960;movie;Laal Kaptaan;0;2019;155;7.2;5117;7;IN;en;imdbDisplay;\N;0;Action;Adventure
5774;7476;tt9054364;tvSeries;That Time I Got Reincarnated as a Slime;0;2018;25;8.1;12783;34;IN;en;imdbDisplay;\N;0;Action;Adventure
5775;7477;tt9054904;tvSeries;Why Women Kill;0;2019;50;8.3;26982;7;IN;en;imdbDisplay;\N;0;Comedy;Crime
5776;7478;tt9054970;movie;Doctor G;0;2022;124;6.7;17242;24;IN;en;imdbDisplay;\N;0;Comedy;Drama
5777;7479;tt9055008;tvSeries;Evil;0;2019;42;7.8;29633;16;IN;en;imdbDisplay;\N;0;Crime;Drama
5778;7480;tt9058134;tvSeries;Kengan Ashura;0;2019;24;8.0;5617;15;IN;en;imdbDisplay;\N;0;Action;Animation
5779;7481;tt9058654;movie;Dinner in America;0;2020;106;7.3;4652;5;IN;en;imdbDisplay;\N;0;Comedy;Drama
5780;7482;tt9059350;tvSeries;Warrior Nun;0;2020;\N;7.0;52749;17;IN;en;imdbDisplay;\N;0;Action;Drama
5781;7483;tt9059760;tvMiniSeries;Normal People;0;2020;339;8.4;77426;6;IN;en;imdbDisplay;\N;0;Drama;Romance
5782;7484;tt9064858;tvSeries;Them;0;2021;45;7.4;21535;16;IN;en;imdbDisplay;\N;0;Drama;Horror
5783;7485;tt9071322;movie;Dark Waters;0;2019;126;7.6;94275;38;IN;en;imdbDisplay;\N;0;Biography;Drama
5784;7486;tt9072202;tvMovie;Believe Me: The Abduction of Lisa McVey;0;2018;87;7.2;14469;9;IN;en;imdbDisplay;\N;0;Biography;Crime
5785;7487;tt9073958;tvSeries;White Lines;0;2020;60;6.6;17854;33;IN;en;imdbDisplay;\N;0;Crime;Drama
5786;7488;tt9074574;movie;Koirat eivÃ¤t kÃ¤ytÃ¤ housuja;0;2019;105;6.8;6375;24;IN;en;imdbDisplay;\N;0;Drama;Romance
5787;7489;tt9077530;tvSeries;Virgin River;0;2019;44;7.4;44622;2;IN;en;imdbDisplay;\N;0;Drama;Romance
5788;7490;tt9077540;tvSeries;Sweet Magnolias;0;2020;\N;7.4;20386;29;IN;en;imdbDisplay;\N;0;Drama;Romance
5789;7492;tt9094282;tvSeries;Hostages;0;2019;42;6.8;6595;8;IN;en;imdbDisplay;\N;0;Crime;Drama
5790;7493;tt9094442;tvSeries;Mayanagari - City of Dreams;0;2019;40;7.7;3685;4;IN;en;imdbDisplay;\N;0;Crime;Mystery
5791;7494;tt9095260;tvSeries;Criminal Justice;0;2019;50;8.1;18270;1;IN;en;imdbDisplay;\N;0;Crime;Drama
5792;7496;tt9098938;movie;Sharmaji Namkeen;0;2022;119;7.5;10887;6;IN;en;imdbDisplay;\N;0;Comedy;Drama
5793;7497;tt9100054;movie;The Lost Daughter;0;2021;121;6.7;70086;26;IN;en;imdbDisplay;\N;0;Drama;No tiene
5794;7498;tt9100822;tvSeries;The Valhalla Murders;0;2019;50;7.1;15404;17;IN;en;imdbDisplay;\N;0;Crime;Drama
5795;7499;tt9103772;tvSeries;Limetown;0;2019;30;6.6;3087;9;IN;en;imdbDisplay;\N;0;Crime;Mystery
5796;7500;tt9103932;tvMiniSeries;Greatest Events of WWII in Colour;0;2019;50;8.7;9656;7;IN;en;imdbDisplay;\N;0;Documentary;History
5797;7501;tt9110340;movie;Andhaghaaram;0;2020;171;7.5;3914;5;IN;en;imdbDisplay;\N;0;Horror;Mystery
5798;7503;tt9112152;tvMiniSeries;Efterforskningen;0;2020;42;7.6;7161;29;IN;en;imdbDisplay;\N;0;Crime;Drama
5799;7504;tt9113406;tvSeries;Wu-Tang: An American Saga;0;2019;49;8.3;10371;15;IN;en;imdbDisplay;\N;0;Biography;Drama
5800;7505;tt9114286;movie;Black Panther: Wakanda Forever;0;2022;161;6.7;275198;55;IN;en;imdbDisplay;\N;0;Action;Adventure
5801;7506;tt9114372;tvSeries;Ãarpisma;0;2018;120;7.5;4549;16;IN;en;imdbDisplay;\N;0;Action;Drama
5802;7507;tt9115530;movie;The Eyes of Tammy Faye;0;2021;126;6.6;36697;31;IN;en;imdbDisplay;\N;0;Biography;Drama
5803;7508;tt9117054;tvSeries;Spinning Out;0;2020;48;7.6;15812;10;IN;en;imdbDisplay;\N;0;Drama;Sport
5804;7509;tt9128874;tvSeries;Van der Valk;0;2020;90;6.8;3854;13;IN;en;imdbDisplay;\N;0;Crime;Drama
5805;7510;tt9130508;movie;Cherry;0;2021;142;6.6;34903;30;IN;en;imdbDisplay;\N;0;Biography;Crime
5806;7512;tt9130692;tvMiniSeries;Dynasties;0;2018;60;9.1;4913;12;IN;en;imdbDisplay;\N;0;Documentary;No tiene
5807;7513;tt9131136;tvSeries;Cheat;0;2019;181;6.7;3438;16;IN;en;imdbDisplay;\N;0;Thriller;No tiene
5808;7514;tt9134194;tvSeries;Trinkets;0;2019;30;7.1;12562;19;IN;en;imdbDisplay;\N;0;Comedy;Crime
5809;7516;tt9138170;movie;Limbo;0;2020;104;7.2;4650;10;IN;en;imdbDisplay;\N;0;Comedy;Drama
5810;7518;tt9140342;tvMiniSeries;It's a Sin;0;2021;239;8.7;34179;33;IN;en;imdbDisplay;\N;0;Comedy;Drama
5811;7519;tt9140554;tvSeries;Loki;0;2021;53;8.2;344400;16;IN;en;imdbDisplay;\N;0;Action;Adventure
5812;7520;tt9140560;tvMiniSeries;WandaVision;0;2021;350;7.9;344346;1;IN;en;imdbDisplay;\N;0;Action;Comedy
5813;7521;tt9140632;tvSeries;The Great North;0;2021;21;6.8;4864;12;IN;en;imdbDisplay;\N;0;Animation;Comedy
5814;7522;tt9143112;movie;Falling;0;2020;112;6.5;6537;20;IN;en;imdbDisplay;\N;0;Drama;No tiene
5815;7523;tt9145880;tvSeries;Joahamyeon Ullineun;0;2019;50;6.7;6715;29;IN;en;imdbDisplay;\N;0;Comedy;Drama
5816;7524;tt9148598;tvMiniSeries;McMillions;0;2020;344;7.2;8691;17;IN;en;imdbDisplay;\N;0;Crime;Documentary
5817;7525;tt9151230;tvSeries;Epidemiya;0;2019;48;7.2;14132;4;IN;en;imdbDisplay;\N;0;Drama;Sci-Fi
5818;7527;tt9151704;movie;Burn the Stage: The Movie;0;2018;84;8.5;4054;12;IN;en;imdbDisplay;\N;0;Documentary;Music
5819;7528;tt9153270;tvSeries;Family Reunion;0;2019;28;6.6;3306;23;IN;en;imdbDisplay;\N;0;Comedy;Family
5820;7529;tt9159144;tvSeries;Dark Side of the Ring;0;2019;60;8.7;3317;6;IN;en;imdbDisplay;\N;0;Documentary;Drama
5821;7530;tt9164986;tvSeries;The Baker and the Beauty;0;2020;43;7.4;4652;23;IN;en;imdbDisplay;\N;0;Comedy;Drama
5822;7531;tt9169658;tvSeries;Emergence;0;2019;43;7.2;7710;15;IN;en;imdbDisplay;\N;0;Drama;Mystery
5823;7532;tt9170108;tvSeries;Raised by Wolves;0;2020;\N;7.5;82270;43;IN;en;imdbDisplay;\N;0;Drama;Fantasy
5824;7534;tt9170516;movie;Skyggen i mit Ã¸je;0;2021;107;7.3;14839;23;IN;en;imdbDisplay;\N;0;Drama;History
5825;7537;tt9174536;tvMiniSeries;The Comey Rule;0;2020;210;7.5;9584;22;IN;en;imdbDisplay;\N;0;Drama;No tiene
5826;7538;tt9174558;tvMiniSeries;Dopesick;0;2021;492;8.6;65108;14;IN;en;imdbDisplay;\N;0;Drama;No tiene
5827;7539;tt9174578;tvSeries;Around the World in 80 Days;0;2021;60;7.2;10963;9;IN;en;imdbDisplay;\N;0;Adventure;Comedy
5828;7540;tt9174582;tvSeries;Brassic;0;2019;43;8.4;10558;13;IN;en;imdbDisplay;\N;0;Comedy;Drama
5829;7541;tt9179096;movie;Minamata;0;2020;115;7.2;21750;40;IN;en;imdbDisplay;\N;0;Drama;No tiene
5830;7542;tt9179430;movie;Vikram;0;2022;175;8.3;64469;18;IN;en;imdbDisplay;\N;0;Action;Crime
5831;7543;tt9179616;tvSeries;Vienna Blood;0;2019;90;7.5;7480;9;IN;en;imdbDisplay;\N;0;Crime;Drama
5832;7544;tt9184820;tvSeries;Star Trek: Lower Decks;0;2020;25;7.6;20541;12;IN;en;imdbDisplay;\N;0;Action;Adventure
